MeSH Symptom Term,MeSH Disease Term,PubMed occurrence,TFIDF score
Body Weight,"Mammary Neoplasms, Animal",37,12.690550344356305
Anoxia,"Mammary Neoplasms, Animal",8,8.015908573659763
Obesity,"Mammary Neoplasms, Animal",6,4.995321909814009
Birth Weight,"Mammary Neoplasms, Animal",2,2.8142618860093997
Weight Gain,"Mammary Neoplasms, Animal",2,2.9733794813521044
Pain,"Mammary Neoplasms, Animal",2,0.6587734172614802
Cachexia,"Mammary Neoplasms, Animal",2,3.9894480316095446
Diarrhea,"Mammary Neoplasms, Animal",1,0.9231881310823103
Hyperalgesia,"Mammary Neoplasms, Animal",1,2.3941100778365545
Vomiting,"Mammary Neoplasms, Animal",1,0.8435126654253875
"Aging, Premature","Mammary Neoplasms, Animal",1,3.464551489537968
Pruritus,Pityriasis Rubra Pilaris,2,2.9318842169636072
Low Back Pain,Pityriasis Rubra Pilaris,1,1.5904210228767852
Psychophysiologic Disorders,Pityriasis Rubra Pilaris,1,1.482505634153478
Jaundice,Pityriasis Rubra Pilaris,1,1.4547117709522501
Diarrhea,"Salmonella Infections, Animal",68,62.776792913597106
Body Weight,"Salmonella Infections, Animal",41,14.062501732935365
Fever,"Salmonella Infections, Animal",18,11.14087738109934
Weight Gain,"Salmonella Infections, Animal",9,13.380207666084472
Weight Loss,"Salmonella Infections, Animal",5,5.000268556905873
Colic,"Salmonella Infections, Animal",4,8.538989265491281
Edema,"Salmonella Infections, Animal",3,1.7876342823086462
Anorexia,"Salmonella Infections, Animal",2,3.650521227908373
Proteinuria,"Salmonella Infections, Animal",1,1.248977773533552
Hypothermia,"Salmonella Infections, Animal",1,1.9454362153971527
Blindness,"Salmonella Infections, Animal",1,1.0981383550099495
Vomiting,"Salmonella Infections, Animal",1,0.8435126654253875
Obesity,"Salmonella Infections, Animal",1,0.8325536516356681
Abdominal Pain,"Salmonella Infections, Animal",1,0.8484836781474079
Hematemesis,Gastrointestinal Hemorrhage,250,521.4654319508242
Diarrhea,Gastrointestinal Hemorrhage,113,104.32025881230108
Abdominal Pain,Gastrointestinal Hemorrhage,108,91.63623723992005
"Abdomen, Acute",Gastrointestinal Hemorrhage,53,76.192806915415
"Purpura, Schoenlein-Henoch",Gastrointestinal Hemorrhage,50,99.91072103722703
Pain,Gastrointestinal Hemorrhage,49,16.139948722906265
Vomiting,Gastrointestinal Hemorrhage,40,33.7405066170155
Purpura,Gastrointestinal Hemorrhage,29,30.83333957194488
Constipation,Gastrointestinal Hemorrhage,21,33.472225364057735
Jaundice,Gastrointestinal Hemorrhage,19,27.63952364809275
"Obesity, Morbid",Gastrointestinal Hemorrhage,18,31.552919142742084
Fever,Gastrointestinal Hemorrhage,16,9.903002116532747
Dyspepsia,Gastrointestinal Hemorrhage,15,31.230782990799433
Hemoptysis,Gastrointestinal Hemorrhage,14,23.759041089516835
"Diarrhea, Infantile",Gastrointestinal Hemorrhage,14,31.93743450828827
"Purpura, Thrombotic Thrombocytopenic",Gastrointestinal Hemorrhage,13,28.392501905166068
Facial Pain,Mandibular Fractures,19,37.474243253628615
Facial Paralysis,Mandibular Fractures,12,16.285162939565495
Trismus,Mandibular Fractures,10,25.979604262160848
Paresthesia,Mandibular Fractures,10,13.580181461497785
Edema,Mandibular Fractures,10,5.95878094102882
Sensation Disorders,Mandibular Fractures,6,2.0599314256298378
Pain,Mandibular Fractures,6,1.9763202517844407
Body Weight,Mandibular Fractures,5,1.7149392357238251
Oral Hemorrhage,Mandibular Fractures,4,10.303649155977293
"Hearing Loss, Conductive",Mandibular Fractures,3,6.802260651086245
Hemiplegia,Mandibular Fractures,3,3.8838970886760484
Hypesthesia,Mandibular Fractures,3,5.1658831323491485
Hearing Disorders,Mandibular Fractures,2,1.4700331499131865
Headache,Mandibular Fractures,2,1.7691285094237812
Hearing Loss,Mandibular Fractures,2,1.6071010892456583
Diplopia,Mandibular Fractures,2,3.288330597766952
Fever,Carbuncle,1,0.6189376322832968
Fever of Unknown Origin,Carbuncle,1,1.4731549166710445
Seizures,Exanthema Subitum,15,12.677503882821211
Fever,Exanthema Subitum,9,5.57043869054967
Fever of Unknown Origin,Exanthema Subitum,4,5.892619666684178
Purpura,Exanthema Subitum,2,2.1264372118582675
"Purpura, Thrombocytopenic",Exanthema Subitum,2,2.8298110411036603
"Purpura, Thrombocytopenic, Idiopathic",Exanthema Subitum,2,3.867788909913964
Facial Paralysis,Exanthema Subitum,1,1.357096911630458
Muscle Weakness,Exanthema Subitum,1,0.992991081702862
Tetany,Exanthema Subitum,1,2.3812066730006465
Diarrhea,Exanthema Subitum,1,0.9231881310823103
Hemiplegia,Exanthema Subitum,1,1.2946323628920158
Paresis,Exanthema Subitum,1,1.2877357838329555
Neurologic Manifestations,Exanthema Subitum,1,0.06994141317533438
Myoclonus,Exanthema Subitum,1,1.775070869430331
Hydrops Fetalis,Exanthema Subitum,1,2.341000252522606
Vomiting,Pyloric Stenosis,105,88.56882986966568
Jaundice,Pyloric Stenosis,17,24.73010010618825
Body Weight,Pyloric Stenosis,16,5.487805554316241
Spasm,Pyloric Stenosis,15,20.509162073438628
Birth Weight,Pyloric Stenosis,13,18.2927022590611
Hematemesis,Pyloric Stenosis,10,20.85861727803297
Tetany,Pyloric Stenosis,7,16.668446711004524
Learning Disorders,Pyloric Stenosis,6,10.411874263747482
Abdominal Pain,Pyloric Stenosis,4,3.3939347125896315
Weight Loss,Pyloric Stenosis,4,4.000214845524699
"Abdomen, Acute",Pyloric Stenosis,4,5.750400521918113
Pain,Pyloric Stenosis,3,0.9881601258922204
Diarrhea,Pyloric Stenosis,3,2.769564393246932
Coma,Pyloric Stenosis,2,2.624169625686484
Muscle Hypotonia,Pyloric Stenosis,2,3.3130222694115505
Delirium,Pyloric Stenosis,2,4.16791029906543
Muscle Weakness,Ulnar Nerve Compression Syndromes,9,8.936919735325757
Paresthesia,Ulnar Nerve Compression Syndromes,6,8.148108876898673
Paralysis,Ulnar Nerve Compression Syndromes,4,1.9378855099313932
Muscular Atrophy,Ulnar Nerve Compression Syndromes,4,5.843287078375312
Paresis,Ulnar Nerve Compression Syndromes,2,2.575471567665911
Sensation Disorders,Ulnar Nerve Compression Syndromes,2,0.6866438085432793
Pain,Ulnar Nerve Compression Syndromes,1,0.3293867086307401
Metatarsalgia,Ulnar Nerve Compression Syndromes,1,4.913366207639191
Fever of Unknown Origin,Ulnar Nerve Compression Syndromes,1,1.4731549166710445
Hypesthesia,Ulnar Nerve Compression Syndromes,1,1.7219610441163826
Mobility Limitation,Ulnar Nerve Compression Syndromes,1,2.76385710334264
Pain,Complex Regional Pain Syndromes,53,17.457495557429226
Hyperalgesia,Complex Regional Pain Syndromes,27,64.64097210158697
Dystonia,Complex Regional Pain Syndromes,18,27.649962603414817
Neuralgia,Complex Regional Pain Syndromes,18,27.689653909464464
Edema,Complex Regional Pain Syndromes,13,7.746415223337468
Perceptual Disorders,Complex Regional Pain Syndromes,10,13.860573662141716
Hypesthesia,Complex Regional Pain Syndromes,5,8.609805220581912
Back Pain,Complex Regional Pain Syndromes,4,4.5877140767175275
Headache,Complex Regional Pain Syndromes,4,3.5382570188475624
Facial Pain,Complex Regional Pain Syndromes,4,7.8893143691849685
Phantom Limb,Complex Regional Pain Syndromes,4,12.917438398830335
Tremor,Complex Regional Pain Syndromes,3,5.218058360484756
Pelvic Pain,Complex Regional Pain Syndromes,3,6.12323437552897
Hyperesthesia,Complex Regional Pain Syndromes,3,8.084592695567062
Low Back Pain,Complex Regional Pain Syndromes,3,4.771263068630356
Psychophysiologic Disorders,Complex Regional Pain Syndromes,3,4.447516902460435
Pain,Calciphylaxis,12,3.9526405035688814
Obesity,Calciphylaxis,10,8.325536516356681
"Obesity, Morbid",Calciphylaxis,5,8.764699761872803
Purpura,Calciphylaxis,4,4.252874423716535
Edema,Calciphylaxis,2,1.191756188205764
Proteinuria,Calciphylaxis,2,2.497955547067104
Muscle Weakness,Calciphylaxis,2,1.985982163405724
Dyspnea,Calciphylaxis,2,2.010443363079234
Body Weight,Calciphylaxis,1,0.34298784714476505
Hyperesthesia,Calciphylaxis,1,2.694864231855688
Weight Loss,Calciphylaxis,1,1.0000537113811745
Back Pain,Calciphylaxis,1,1.1469285191793817
"Purpura, Thrombotic Thrombocytopenic",Calciphylaxis,1,2.1840386080896974
Paresthesia,Calciphylaxis,1,1.358018146149779
Ecchymosis,Calciphylaxis,1,2.2999812330780607
Fatigue,Calciphylaxis,1,1.1380131555214292
Language Development Disorders,Language Development Disorders,2428,6037.3851340627725
Language Disorders,Language Development Disorders,296,319.0100521047861
Speech Disorders,Language Development Disorders,280,322.8166370867212
Dyslexia,Language Development Disorders,158,423.04065328472336
Mental Retardation,Language Development Disorders,156,141.24968271534343
Learning Disorders,Language Development Disorders,137,237.73779568890083
Articulation Disorders,Language Development Disorders,123,232.1562218028569
Deafness,Language Development Disorders,78,95.82511871885636
Auditory Perceptual Disorders,Language Development Disorders,50,157.16733625237714
Hearing Disorders,Language Development Disorders,50,36.75082874782966
Psychomotor Disorders,Language Development Disorders,40,53.26563966548438
"Hearing Loss, Sensorineural",Language Development Disorders,38,46.16452269764321
Aphasia,Language Development Disorders,35,63.37316350865618
Hearing Loss,Language Development Disorders,31,24.91006688330771
"Hearing Loss, Conductive",Language Development Disorders,26,58.95292564274746
Communication Disorders,Language Development Disorders,20,19.7704502756397
Vision Disorders,Macular Degeneration,216,143.31371728346838
Blindness,Macular Degeneration,115,126.28591082614422
"Vision, Low",Macular Degeneration,92,207.5560047642909
Scotoma,Macular Degeneration,83,197.6401538590537
Color Vision Defects,Macular Degeneration,35,89.83134637162033
Hallucinations,Macular Degeneration,33,56.86851008270669
Edema,Macular Degeneration,14,8.34229331744035
Obesity,Macular Degeneration,9,7.492982864721012
Deafness,Macular Degeneration,9,11.056744467560348
Pseudophakia,Macular Degeneration,8,30.017868495917988
Eye Hemorrhage,Macular Degeneration,7,19.2684942276575
Cerebellar Ataxia,Macular Degeneration,6,10.252713737746909
Amblyopia,Macular Degeneration,6,15.38116937876761
"Hearing Loss, Sensorineural",Macular Degeneration,6,7.289135162785769
Mental Retardation,Macular Degeneration,5,4.527233420363571
Perceptual Disorders,Macular Degeneration,4,5.544229464856687
Fever,Familial Mediterranean Fever,87,53.84757400864682
Hypergammaglobulinemia,Familial Mediterranean Fever,67,112.5013859683647
Abdominal Pain,Familial Mediterranean Fever,61,51.75750436699188
Pain,Familial Mediterranean Fever,40,13.175468345229607
"Abdomen, Acute",Familial Mediterranean Fever,24,34.50240313150869
Proteinuria,Familial Mediterranean Fever,24,29.975466564805245
Fever of Unknown Origin,Familial Mediterranean Fever,18,26.516788500078803
"Purpura, Schoenlein-Henoch",Familial Mediterranean Fever,16,31.971430731912648
Chest Pain,Familial Mediterranean Fever,13,14.294290794634405
Diarrhea,Familial Mediterranean Fever,10,9.231881310823104
Arthralgia,Familial Mediterranean Fever,10,14.773000003262133
Albuminuria,Familial Mediterranean Fever,7,14.455606656598325
Paralysis,Familial Mediterranean Fever,7,3.391299642379938
Vomiting,Familial Mediterranean Fever,6,5.061075992552325
Headache,Familial Mediterranean Fever,5,4.422821273559453
Purpura,Familial Mediterranean Fever,5,5.3160930296456685
Catatonia,Passive-Aggressive Personality Disorder,1,2.701906514481101
Paralysis,Birth Injuries,80,38.75771019862787
Birth Weight,Birth Injuries,69,97.09203506732429
Mental Retardation,Birth Injuries,30,27.16340052218143
Seizures,Birth Injuries,28,23.66467391459959
Fetal Macrosomia,Birth Injuries,27,90.09138918675824
Fetal Hypoxia,Birth Injuries,23,62.887182031934174
Anoxia,Birth Injuries,15,15.029828575612054
Edema,Birth Injuries,13,7.746415223337468
Facial Paralysis,Birth Injuries,12,16.285162939565495
Psychomotor Disorders,Birth Injuries,12,15.979691899645314
Torticollis,Birth Injuries,12,25.859891071793605
Muscle Weakness,Birth Injuries,11,10.922901898731485
Muscular Atrophy,Birth Injuries,11,16.06903946553211
Hemiplegia,Birth Injuries,6,7.767794177352097
Fetal Distress,Birth Injuries,6,15.530709829482348
Neurologic Manifestations,Birth Injuries,6,0.4196484790520063
Seizures,Limbic Encephalitis,23,19.43883928699252
Memory Disorders,Limbic Encephalitis,19,27.89195454561409
Amnesia,Limbic Encephalitis,17,36.91526441431582
Confusion,Limbic Encephalitis,11,16.598430324046944
"Amnesia, Anterograde",Limbic Encephalitis,7,28.494811051757978
Dyskinesias,Limbic Encephalitis,4,2.9918083148340937
"Amnesia, Retrograde",Limbic Encephalitis,4,13.59437408698468
Delirium,Limbic Encephalitis,4,8.33582059813086
Fever,Limbic Encephalitis,3,1.8568128968498905
Hypothermia,Limbic Encephalitis,3,5.836308646191458
Hallucinations,Limbic Encephalitis,3,5.169864552973335
Consciousness Disorders,Limbic Encephalitis,2,1.754258552448745
Chorea,Limbic Encephalitis,2,3.985966742653976
Psychomotor Agitation,Limbic Encephalitis,2,4.485120359418707
Sleep Disorders,Limbic Encephalitis,2,2.9859978197386337
Unconsciousness,Limbic Encephalitis,2,1.8559456584112928
Abdominal Pain,"Hernia, Ventral",30,25.45451034442224
Obesity,"Hernia, Ventral",18,14.985965729442023
"Abdomen, Acute","Hernia, Ventral",16,23.001602087672453
"Obesity, Morbid","Hernia, Ventral",13,22.788219380869283
Pain,"Hernia, Ventral",9,2.964480377676661
Birth Weight,"Hernia, Ventral",5,7.035654715023501
Constipation,"Hernia, Ventral",4,6.375661974106237
"Urinary Incontinence, Stress","Hernia, Ventral",4,11.208703870579104
Paralysis,"Hernia, Ventral",4,1.9378855099313932
"Pain, Postoperative","Hernia, Ventral",3,5.033565966799379
Muscular Atrophy,"Hernia, Ventral",3,4.382465308781485
Vomiting,"Hernia, Ventral",3,2.5305379962761627
Cough,"Hernia, Ventral",2,2.6294583021926647
Colic,"Hernia, Ventral",2,4.269494632745641
Body Weight,"Hernia, Ventral",2,0.6859756942895301
Muscle Hypotonia,"Hernia, Ventral",2,3.3130222694115505
Olfaction Disorders,22q11 Deletion Syndrome,1,2.2882302165425417
Respiratory Sounds,22q11 Deletion Syndrome,1,1.6392693282712694
Mental Retardation,22q11 Deletion Syndrome,1,0.9054466840727144
Language Development Disorders,22q11 Deletion Syndrome,1,2.4865671886584733
Abdominal Pain,Endodermal Sinus Tumor,3,2.545451034442224
"Abdomen, Acute",Endodermal Sinus Tumor,2,2.8752002609590566
Horner Syndrome,Endodermal Sinus Tumor,2,4.419252716076209
Pain,Endodermal Sinus Tumor,1,0.3293867086307401
"Blindness, Cortical",Endodermal Sinus Tumor,1,2.9446760302520585
Headache,Endodermal Sinus Tumor,1,0.8845642547118906
Virilism,Endodermal Sinus Tumor,1,2.2270559931733884
Dyspnea,Endodermal Sinus Tumor,1,1.005221681539617
Chest Pain,Endodermal Sinus Tumor,1,1.0995608303564923
Facial Paralysis,Endodermal Sinus Tumor,1,1.357096911630458
Paraparesis,Endodermal Sinus Tumor,1,2.2358860726216605
Diplopia,Endodermal Sinus Tumor,1,1.6441652988834758
Seizures,Endodermal Sinus Tumor,1,0.8451669255214139
Syncope,Endodermal Sinus Tumor,1,1.4908914275297522
